symbol,security,gics_sector,marketcap,Consecutive_Revenue_Growth_Years,Consecutive_EPS_Growth_Years,Consecutive_Profitable_Years,Consecutive_Positive_FCF_Years,Consecutive_ROE_Above_15pct_Years,CPI,Core_CPI,Unemployment_Rate,NFP,Real_GDP,Consumer_Sentiment,Growth_Score,Inflation_Score,Labor_Heat_Score,Macro_Regime_Score,Investment_Signal,Market_Regime,latest_price,total_return_10y,cagr_10y,volatility,momentum_12m,symbol_1,ai_fin_score,ai_price_score,ai_envi_score,ai_comment,final_score
MMM,3M,Industrials,90312692271.0,5,4,9,8,2,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,170.7100067138672,0.32251054566019066,0.028351477707554862,0.2625688705570207,0.278439363996571,MMM,7.0,3.0,6.0,"3M demonstrates exceptionally strong financial health with robust growth, consistent profitability, and a favorable macroeconomic environment. However, the current market conditions suggest caution due to the significant inflationary pressures and bear market outlook.  The high volatility and momentum suggest potential for significant price swings.",2.7249999999999996
AOS,A. O. Smith,Industrials,8925144134.0,0,0,9,9,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,65.81999969482422,0.7025349186396903,0.05466070883632668,0.2701830047555838,-0.11639144069786889,AOS,4.0,1.0,4.0,"AOS exhibits concerning financial stability with a prolonged period of profitability and strong cash flow, but the rapidly increasing inflation and bearish market environment pose significant risks. The lack of growth and recent price decline suggest a potential vulnerability to economic headwinds.  The SELL signal warrants careful consideration due to the extreme volatility and potential for further losses.",1.475
ABT,Abbott Laboratories,Health Care,221167122939.0,6,5,9,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,126.27999877929688,1.8602490241201184,0.11082752698286025,0.23681247095760588,0.06323147552828434,ABT,7.0,2.0,6.0,"Abbott Laboratories demonstrates exceptionally strong financial health and consistent growth, bolstered by a robust free cash flow and a favorable macroeconomic environment. However, the bearish market conditions and elevated volatility warrant caution regarding the stock's potential for further decline.  The company's strong performance relative to the current market suggests a potential opportunity, but the elevated risk profile necessitates careful consideration.",2.55
ABBV,AbbVie,Health Care,405632446890.0,6,0,9,9,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,224.32000732421875,2.9971491730868616,0.14863824988291108,0.26191323245458453,0.22626150060474615,ABBV,7.0,3.0,8.0,"AbbVie exhibits strong financial stability and consistent growth over a long period, but the current macroeconomic environment – characterized by high inflation and a potential recession – presents significant risks. The company's performance is negatively impacted by the bear market and inflationary pressures, warranting cautious investment consideration.",2.875
ACN,Accenture,Information Technology,160343801248.0,0,0,10,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,260.9338073730469,1.4632663704457438,0.09435064445246732,0.25715013065420234,-0.2799243566270905,ACN,4.0,2.0,8.0,"ACN, a leading IT services company, exhibits concerning financial stability and growth, hampered by a severe macroeconomic environment characterized by high inflation and a significant labor market downturn.  Despite strong historical performance, the current market conditions suggest a significant risk, necessitating a cautious investment approach due to the bearish macro regime.",1.9500000000000002
ADBE,Adobe Inc.,Information Technology,133420378000.0,9,6,9,9,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,325.1600036621094,2.616505287710727,0.13719922238712523,0.33788773227267566,-0.3697594474480471,ADBE,7.0,2.0,6.0,"Adobe demonstrates exceptionally strong financial performance and a robust growth trajectory, particularly in the face of significant inflationary pressures. However, the current market environment – a bear market with a high level of volatility – warrants caution regarding the stock's potential for further decline.  The company's high ROE and consistent free cash flow suggest resilience, but the macroeconomic headwinds pose a significant risk.",2.55
AMD,Advanced Micro Devices,Information Technology,350110333177.0,6,4,8,7,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,218.4149932861328,96.94394233991048,0.5817032857682849,0.592701336304916,0.5921781961480843,AMD,7.0,2.0,6.0,"AMD demonstrates exceptionally strong financial health with a consistent history of robust growth, high profitability, and a favorable macroeconomic environment. However, the current market conditions suggest caution due to the elevated inflation and bear market, impacting potential upside.  The high volatility and relatively low momentum suggest a potential for significant price decline.",2.55
AES,AES Corporation,Utilities,9884238703.0,5,0,6,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,14.023500442504883,0.47305669833960495,0.039499415436276664,0.3599406548113123,0.07542181622154676,AES,4.0,1.0,4.0,"AES Corporation exhibits concerning financial health with a history of exceptional growth, but is significantly impacted by a rapidly increasing inflationary environment and a bearish macroeconomic outlook.  The company's performance is severely hampered by a volatile market and a lack of sustainable growth, suggesting a high risk of further decline.",1.475
AFL,Aflac,Financials,57851694158.0,5,5,9,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,108.99749755859375,2.454754364322097,0.13200693885520876,0.258282977468522,-0.04388160036321276,AFL,7.0,2.0,6.0,"AFL demonstrates exceptionally strong financial health with a consistent history of robust growth, high profitability, and a favorable macroeconomic environment. However, the current market conditions – a significant inflationary environment and a concerning labor market – warrant caution due to the potential for further volatility and a bear market scenario.  The high volatility suggests potential risks in the near term.",2.55
A,Agilent Technologies,Health Care,43545665587.0,5,5,9,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,149.875,2.7328765704628237,0.1408070461563986,0.2747348138971479,0.08628686434707711,A,7.0,3.0,6.0,"Agilent Technologies demonstrates exceptionally strong financial health with a robust track record of consistent growth, high profitability, and a favorable macroeconomic environment. However, the current market conditions – characterized by significant inflation and a bear market – warrant caution due to the potential for further volatility and a shift in investor sentiment. The company's high ROE and cash flow generation are positive indicators, but the negative macroeconomic outlook necessitates careful risk assessment.",2.7249999999999996
